stationid,county,recordtype,startdate,stationname,areatype,noisetype,address,status,enddate,endreason,sideroad,sideroadwidth,longitude,latitude
0705520TN001,新竹縣,人工,1030430,新竹縣政府,第三類,道路交通噪音,竹北市光明六路10號,使用中,,,,24,121.01235,24.8259
0705520EN003,新竹縣,人工,1030430,新竹縣環保局,第三類,一般地區環境音量,竹北市光明五街62號,使用中,,,,8.2,121.013648,24.828543
0605420TN002,桃園市,人工,1090515,北橫公路18.3K,第一類,道路交通噪音,"台七 縣18.3K",使用中,,,,16,24.810475,121.352485
0605420TN001,桃園市,人工,950918,復興青年活動中心,第一類,道路交通噪音,復興鄉中正路2號,使用中,,因蟲鳴鳥叫聲及其他人為噪音影響而超標，且有無音源可改善疑慮，故刪除,中正路,6.8,121.350904,24.813128
0605420EN003,桃園市,人工,1090515,霞雲探索教育基地,第一類,一般地區環境音量,桃園市復興區,使用中,,,,,24.810981,121.351623
0605420EN002,桃園市,人工,950918,林務局復興站,第一類,一般地區環境音量,復興鄉忠孝路12號,使用中,,因判定土地使用區分為風景區，故屬第一類管制區，經重新檢視比對108年度公告，該地土地使用分區應為公園用地，屬第三類管制區，故刪除,忠孝路,6,121.351107,24.814229
0605320TN002,桃園市,人工,930501,草漯國小前新生路,第二類,道路交通噪音,觀音鄉草漯村195號,使用中,,,新生路,16,121.142936,25.04554
0605220EN003,桃園市,人工,920501,笨港國小,第二類,一般地區環境音量,新屋鄉笨港村二鄰1-1號,使用中,,,桃106鄉道,,121.02597,24.974816
0605120TN003,桃園市,人工,930501,中平國小前民族路,第三類,道路交通噪音,"平鎮市民族路雙連三段 37 號",使用中,,經重新檢視比對年108年度公告，發現該測點土地使用區分應為零星工業區，屬第四類噪音管制區,民權路,22,121.178191,24.958942
0605120EN001,桃園市,人工,930501,山豐國小,第二類,一般地區環境音量,平鎮市中豐路山頂段375巷45號,使用中,,,中豐路,,121.212802,24.896792
0605020TN001,桃園市,人工,950918,龍潭運動公園前北龍路,第三類,道路交通噪音,龍潭鄉北龍路,使用中,,,北龍路,24,121.218494,24.868274
0605020EN001,桃園市,人工,920501,龍潭國小,第二類,一般地區環境音量,龍潭鄉南龍路13號,使用中,,,南龍路,,121.213531,24.864283
0604920TN004,桃園市,人工,930501,忠義街社區,第二類,道路交通噪音,"八德市忠義街 103 號",使用中,,,忠義街,8,121.271923,24.97111
0604920EN001,桃園市,人工,950918,大勇國小附近,第二類,一般地區環境音量,八德市自強街60號,使用中,,,自強街,8,121.3039,24.969116
0604820TN001,桃園市,人工,950918,華亞科技園區管理中心,第一類,道路交通噪音,龜山鄉文化村文化二路176-1號,使用中,,,中正東路,16,121.371283,25.050477
0604720TN001,桃園市,人工,930501,北湖國小,第二類,道路交通噪音,新屋鄉東興路二段765號旁,使用中,,,康興路(桃93),8,121.049831,25.0057
